link-href,atcCode,name,ddd,unit,adminRoute,note
https://atcddd.fhi.no/atc_ddd_index/?code=B05XA14,B05XA14,sodium glycerophosphate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R06AC05,R06AC05,methapyrilene,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=B05BC02,B05BC02,carbamide,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=J07CA12,J07CA12,diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=B02BD08,B02BD08,coagulation factor VIIa,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA01,diprophylline,1,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA01,diprophylline,1,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA01,diprophylline,1,g,R,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA02,choline theophyllinate,0.6,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA02,choline theophyllinate,0.6,g,R,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA03,proxyphylline,1.2,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA03,proxyphylline,1.2,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA03,proxyphylline,1.2,g,R,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA04,theophylline,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA04,theophylline,0.4,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA04,theophylline,0.4,g,R,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA05,aminophylline,0.6,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA05,aminophylline,0.6,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA05,aminophylline,0.6,g,R,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA06,etamiphylline,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA07,theobromine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA08,bamifylline,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA09,acefylline piperazine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA10,bufylline,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA11,doxofylline,0.8,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA11,doxofylline,0.8,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA12,mepyramine theophyllinacetate,0.6,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA20,combinations of xanthines,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA51,"diprophylline, combinations",,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA54,"theophylline, combinations excl. psycholeptics",,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA55,"aminophylline, combinations",,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA57,"theobromine, combinations",,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03DA,R03DA74,"theophylline, combinations with psycholeptics",,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A16AB18,A16AB18,vestronidase alfa,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=G04CA52,G04CA52,tamsulosin and dutasteride,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=C10BX03,C10BX03,atorvastatin and amlodipine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10AE54,A10AE54,insulin glargine and lixisenatide,40,U,P,Refers to insulin glargine
https://atcddd.fhi.no/atc_ddd_index/?code=A16AB17,A16AB17,cerliponase alfa,21,mg,P,
https://atcddd.fhi.no/atc_ddd_index/?code=M01AX12,M01AX12,glucosaminoglycan polysulfate,50,mg,P,
https://atcddd.fhi.no/atc_ddd_index/?code=B03AB05,B03AB05,ferric oxide polymaltose complexes,90,mg,O,Fe3+
https://atcddd.fhi.no/atc_ddd_index/?code=M05BC01,M05BC01,dibotermin alfa,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=J05AR15,J05AR15,atazanavir and cobicistat,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=G03GA09,G03GA09,corifollitropin alfa,0.15,mg,P,
https://atcddd.fhi.no/atc_ddd_index/?code=C09DX01,C09DX01,"valsartan, amlodipine and hydrochlorothiazide",,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BD20,A10BD20,metformin and empagliflozin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BD10,A10BD10,metformin and saxagliptin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA01,ofloxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA01,ofloxacin,0.4,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA02,ciprofloxacin,1,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA02,ciprofloxacin,0.8,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA03,pefloxacin,0.8,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA03,pefloxacin,0.8,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA04,enoxacin,0.8,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA05,temafloxacin,0.8,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA06,norfloxacin,0.8,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA07,lomefloxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA08,fleroxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA08,fleroxacin,0.4,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA09,sparfloxacin,0.2,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA10,rufloxacin,0.2,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA11,grepafloxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA12,levofloxacin,0.24,g,Inhal.solution,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA12,levofloxacin,0.5,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA12,levofloxacin,0.5,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA13,trovafloxacin,0.2,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA13,trovafloxacin,0.2,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA14,moxifloxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA14,moxifloxacin,0.4,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA15,gemifloxacin,0.32,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA15,gemifloxacin,0.2,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA16,gatifloxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA16,gatifloxacin,0.4,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA17,prulifloxacin,0.6,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA18,pazufloxacin,1,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA19,garenoxacin,0.4,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA21,sitafloxacin,0.1,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA22,tosufloxacin,0.45,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA23,delafloxacin,0.9,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA23,delafloxacin,0.6,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA24,levonadifloxacin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=J01MA,J01MA25,lascufloxacin,75,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=J04AM02,J04AM02,rifampicin and isoniazid,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=G03AB03,G03AB03,levonorgestrel and ethinylestradiol,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=G03AA07,G03AA07,levonorgestrel and ethinylestradiol,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=V09IX09,V09IX09,gallium (68Ga) edotreotide,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=V09HX01,V09HX01,gallium (67Ga) citrate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=V09DA03,V09DA03,technetium (99mTc) lidofenin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R02AA10,R02AA10,myristyl-benzalkonium,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R01AA15,R01AA15,indanazoline,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=P01AX01,P01AX01,chiniofon,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=M02AA28,M02AA28,piketoprofen,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=J01DI01,J01DI01,ceftobiprole medocaril,1.5,g,P,
https://atcddd.fhi.no/atc_ddd_index/?code=G04CX04,G04CX04,fexapotide,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=D11AC09,D11AC09,xenysalate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=C10AB11,C10AB11,choline fenofibrate,0.135,g,O,Refers to fenofibric acid
https://atcddd.fhi.no/atc_ddd_index/?code=B03AA06,B03AA06,ferrous succinate,0.2,g,O,Fe2+
https://atcddd.fhi.no/atc_ddd_index/?code=B03AA01,B03AA01,ferrous glycine sulfate,0.2,g,O,Fe2+
https://atcddd.fhi.no/atc_ddd_index/?code=A12CC08,A12CC08,magnesium pidolate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A02BC07,A02BC07,dexrabeprazole,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=D01AC17,D01AC17,eberconazole,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A12AA30,A12AA30,calcium laevulate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A02BX04,A02BX04,methiosulfonium chloride,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A01AB06,A01AB06,domiphen,3,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=V09IX12,V09IX12,fluciclovine (18F),,,,
https://atcddd.fhi.no/atc_ddd_index/?code=C07AB11,C07AB11,s-atenolol,50,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=M04AB05,M04AB05,lesinurad,0.2,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=L02BB05,L02BB05,apalutamide,0.24,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=D01AE24,D01AE24,tavaborole,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BJ05,A10BJ05,dulaglutide,0.16,mg,P,
https://atcddd.fhi.no/atc_ddd_index/?code=V04CG03,V04CG03,histamine phosphate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A16AB05,A16AB05,laronidase,1,TU,P,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK01,dapagliflozin,10,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK02,canagliflozin,0.2,g,O,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK03,empagliflozin,17.5,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK04,ertugliflozin,10,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK05,ipragliflozin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK06,sotagliflozin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK07,luseogliflozin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A10BK,A10BK08,bexagliflozin,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03AK08,R03AK08,formoterol and beclometasone,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A02AA05,A02AA05,magnesium silicate,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=L04AC16,L04AC16,guselkumab,1.79,mg,P,
https://atcddd.fhi.no/atc_ddd_index/?code=S03AA04,S03AA04,chlorhexidine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=S02AA09,S02AA09,chlorhexidine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=S01AX09,S01AX09,chlorhexidine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=R03BB07,R03BB07,umeclidinium bromide,55,mcg,"""Inhal.powder""","Expressed as umeclidinium, delivered dose"
https://atcddd.fhi.no/atc_ddd_index/?code=R02AA05,R02AA05,chlorhexidine,30,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=D09AA12,D09AA12,chlorhexidine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=D08AC02,D08AC02,chlorhexidine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=B05CA02,B05CA02,chlorhexidine,,,,
https://atcddd.fhi.no/atc_ddd_index/?code=A01AB03,A01AB03,chlorhexidine,30,mg,O,
https://atcddd.fhi.no/atc_ddd_index/?code=B03AB04,B03AB04,ferric hydroxide,,,,
